id,image,name,category,material,condition,description,sellerId,askingPrice,currentBid,currency,highestBidderId,listedAt,dueDate,isForSale,offerCount,weight
2001,/products/2001.webp,Yellow gold flower ring,ring,14k,very good,14k yellow gold flower ring with a glossy finish. Ring size US 6.5. Light wear on the underside only; overall looks bright and clean.,701,980,1120,USD,user_18,2026-02-03,2026-02-17,true,6,3.2
2002,/products/2002.webp,White gold cable chain necklace,necklace,18k,good,"18k white gold cable chain necklace, 45cm length. Clasp works smoothly; faint surface marks from regular wear.",702,1250,1310,USD,user_44,2025-11-28,2026-02-25,true,3,6.8
2003,/products/2003.webp,Pink gold heart stud earrings,earrings,14k,new,Brand new 14k pink gold heart studs. Heart size approx. 5mm. Never worn; includes original backs.,703,420,420,USD,,2026-02-08,2026-02-28,true,0,1.4
2004,/products/2004.webp,Gemstone tennis bracelet,bracelet,gemstone,slightly scratched,Gemstone tennis bracelet in white gold tone. Length 17cm. Minor scratches near the clasp; stones secure and sparkle well.,704,1680,1890,USD,user_92,2025-12-19,2026-03-05,true,9,14.6
2005,/products/2005.webp,Yellow gold minimalist band ring,ring,18k,good,"18k yellow gold band ring, ring size US 7.25. Noticeable hairline scratches from daily wear but no dents.",705,760,845,USD,user_06,2025-10-11,2026-02-14,true,4,5.1
2006,/products/2006.webp,White gold drop earrings,earrings,18k,very good,"18k white gold drop earrings with a clean silhouette. Drop length ~3.2cm. Minimal wear, polished recently.",706,990,1045,USD,user_27,2026-01-05,2026-01-26,true,2,3
2007,/products/2007.webp,Pink gold charm bracelet,bracelet,14k,scratched,"14k pink gold charm bracelet, 18cm. Visible scratches throughout from frequent wear; clasp secure and functional.",707,520,610,USD,user_73,2025-09-22,2026-02-20,true,7,9.8
2008,/products/2008.webp,Gemstone pendant necklace,necklace,gemstone,very good,"Gemstone pendant necklace in yellow gold tone. Chain length 50cm. Stone size approx. 7mm; minimal wear, great shine.",708,640,790,USD,user_51,2026-02-01,2026-03-01,true,8,5.6
2009,/products/2009.webp,White gold eternity ring,ring,18k,good,18k white gold eternity-style ring with small stones. Ring size US 6. Slight wear on the underside; stones intact.,709,1750,1820,USD,user_11,2025-12-03,2026-02-09,true,3,4.2
2010,/products/2010.webp,Yellow gold hoop earrings,earrings,14k,very good,"14k yellow gold hoops, diameter ~2.8cm. Light marks from wear; hinges close tightly.",710,310,405,USD,user_59,2025-11-09,2026-02-06,true,10,2.6
